game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=jqzdk2lp,Xbox One,6m 0.180s,https://youtu.be/_HcpZlNl-cc,,solo,2022-02-24,1,Connor98,,,,http://www.speedrun.com/bo3zombies/run/zxlj7oez,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=5leo55qo; 2lg7e6lp=21ge5dml,Xbox One,1m 28.500s,https://youtu.be/cYP4tvqxeBE,,solo,2022-02-24,1,Connor98,,,,http://www.speedrun.com/bo3zombies/run/zq029gxy,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=5leo55qo; 789ye5nw=810646p1,Xbox One,5m 19.300s,https://youtu.be/3ilN9A16BMk,,solo,2022-02-23,1,Connor98,,,,http://www.speedrun.com/bo3zombies/run/mkeo8nvm,rejected
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=5leo55qo; 789ye5nw=810646p1,Xbox One,5m 24.500s,https://youtu.be/UP0ZYy7eJ3k,,solo,2022-02-23,1,Connor98,,,,http://www.speedrun.com/bo3zombies/run/z12vrpwy,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=5leo55qo; 789ye5nw=810646p1,Xbox One,5m 19.300s,https://youtu.be/NzXq32Fe2iI,,solo,2022-02-22,1,Connor98,,,,http://www.speedrun.com/bo3zombies/run/y6ngpkpz,rejected
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,Xbox One,1m 6.966s,https://youtu.be/lCFdkbaytCA,,solo,2022-02-20,1,Connor98,,,,http://www.speedrun.com/bo3zombies/run/m7woowez,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=jq6om7qm,Xbox One,5m 43.100s,https://youtu.be/eBejjTkyDB4,,solo,2022-02-18,1,Connor98,,,,http://www.speedrun.com/bo3zombies/run/zgdoxe0z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,Xbox One,5m 6.240s,https://youtu.be/XeJoNXApOH0,,solo,2022-02-17,1,Connor98,,,,http://www.speedrun.com/bo3zombies/run/yorxvw0y,verified
