game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Bus Depot,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; yn23jdl5=4qy7zn3q,PC,19m 29.770s,https://www.youtube.com/watch?v=yEsu7X9IxMw,,co-op,2024-10-31,3,YTxdBlackwood,ViralKingGlad,pantherjackking,,http://www.speedrun.com/bo2zombies/run/megd8lqy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=4lxz9212; jlzz6xl2=013xgok1,PC,33m 56.430s,https://www.youtube.com/watch?v=-BKQIGbn2bU,,co-op,2024-11-23,3,YTxdBlackwood,ViralKingGlad,pantherjackking,,http://www.speedrun.com/bo3zombies/run/zqqx7l8z,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=81w7y49q,PC,32m 50.230s,https://www.youtube.com/watch?v=jXnoSBtpElU,,co-op,2024-11-21,2,YTxdBlackwood,ViralKingGlad,,,http://www.speedrun.com/bo3zombies/run/zxxe295z,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=5lm8g6yq,PC,11m 55.100s,https://www.youtube.com/watch?v=jXnoSBtpElU,,co-op,2024-11-21,2,YTxdBlackwood,ViralKingGlad,,,http://www.speedrun.com/bo3zombies/run/mk1j3l1y,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=0q56pm1p; p85pd5lg=mlndzm61,PC,12m 21.000s,https://www.youtube.com/live/AurDE_dLe6w?si=4VliS5PnJUT7Hu5c,,co-op,2024-11-15,2,YTxdBlackwood,ViralKingGlad,,,http://www.speedrun.com/bo3zombies/run/mrxg9o4m,verified
