game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; p85revng=5lmxo341,Xbox 360,1m 11.340s,https://www.twitch.tv/videos/1805281830,https://www.twitch.tv/videos/1805303170; https://www.twitch.tv/videos/1805280997,co-op,2023-04-27,3,catbat123,killer854nuu,K0rUP7ion170,,http://www.speedrun.com/bo2zombies/run/m701oq0y,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=gq7r2rdl; 2lg396np=4lxz9212; 38dw04n0=jqz2ogqp,Xbox One,43m 4.700s,https://www.twitch.tv/videos/1832129094,https://www.twitch.tv/videos/1832128584; https://www.twitch.tv/videos/1832125149,co-op,2023-05-29,3,catbat123,Suwabway,K0rUP7ion170,,http://www.speedrun.com/bo3zombies/run/z0j9og9y,verified
