game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PlayStation 5,11m 1.650s,https://youtu.be/TBxTiNSEK7U,,co-op,2025-10-13,2,DREWPBAHLZ,BoneBone710,,,http://www.speedrun.com/BO6Zombies/run/y68l0eqz,rejected
Call of Duty: Black Ops 6 Zombies,,The Reckoning ,6njpd4en=12ve0wdq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; kn0eoj78=ln86o0ol,PlayStation 4,41m 39.800s,https://www.youtube.com/watch?v=cI22OARAzfI,https://youtu.be/icxHPtGnQt8?si=sB26UdDNcLBWdE5A,co-op,2025-10-11,2,BoneBone710,DREWPBAHLZ,,,http://www.speedrun.com/BO6Zombies/run/yv53g9xm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PlayStation 4,10m 58.650s,https://www.youtube.com/watch?v=TBxTiNSEK7U,https://youtu.be/JrOvKNQNZVc?si=5LrdFJwpsU_aYzAx,co-op,2025-10-11,2,BoneBone710,DREWPBAHLZ,,,http://www.speedrun.com/BO6Zombies/run/mr583k4y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 4,11m 57.880s,https://youtu.be/Bz9Kr_wtVNY?si=KzWrSz5FLINh53Al,,co-op,2025-09-27,2,BoneBone710,Drew_P_Balls,,,http://www.speedrun.com/BO6Zombies/run/mepkvl8y,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 5,11m 58.330s,https://www.youtube.com/watch?v=Bz9Kr_wtVNY,https://www.twitch.tv/videos/2576826160,co-op,2025-09-27,2,DREWPBAHLZ,BoneBone710,,,http://www.speedrun.com/BO6Zombies/run/yo54v91z,verified
Call of Duty: Black Ops 7 Zombies,,Ashes of the Damned ,68kw0kk8=q8k88wyq; wle3mz28=1dkggxpl; rn1kv91l=qvvoojrq; j84p9ww8=qj7nnp7q; rn1kv6kl=lr34vn0l; 789e9z6l=192ypp4q,PlayStation 5,44m 43.500s,https://youtu.be/RjOxur3mQJg?si=QdkcBfBObAwcGEUy,,solo,2025-12-03,1,BoneBone710,,,,http://www.speedrun.com/Bo7Zombies/run/y68x351z,verified
