game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=gq70vzyl; dlo750j8=jq6w74jl,Xbox One S,4m 4.898s,https://youtu.be/3a08adMYRfo,,solo,2021-02-12,1,Nishproplays,,,,http://www.speedrun.com/bocwz/run/mr4npl7z,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,PlayStation 4,4m 21.000s,https://www.youtube.com/watch?v=f8xocPsMQq4,,solo,2021-02-06,1,Nishproplays,,,,http://www.speedrun.com/bocwz/run/y66dd6py,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,Xbox One,4m 21.000s,https://gameclipscontent-d2016.xboxlive.com/xuid-2535414234844126-private/e565fdbe-1466-4dea-8f08-6aa7dbaa02dc.MP4?sv=2015-12-11&sr=b&si=DefaultAccess&sig=NUXij9x38ZTmxh5UIQMmmjKZnwudtGhb41EHKrNYgkk%3D&__gda__=1610812348_d98e5a72146f358176f211f51f5361cc,,solo,2021-01-16,1,Nishproplays,,,,http://www.speedrun.com/bocwz/run/mk742d1y,rejected
