game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,13m 47.540s,https://www.youtube.com/watch?v=n4XeSEpl2WE&t=108s,,solo,2025-12-10,1,BigT2109,,,,http://www.speedrun.com/iwzombies/run/zx581vqm,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,PC,11m 32.150s,https://www.youtube.com/watch?v=yl5ihvngRgo&t=408s,,solo,2025-08-10,1,BigT2109,,,,http://www.speedrun.com/iwzombies/run/zqpnv59m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,14m 19.730s,https://www.youtube.com/watch?v=S7GJwxjSOwY&t=323s,,solo,2025-06-17,1,BigT2109,,,,http://www.speedrun.com/iwzombies/run/yoepd91z,verified
