game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Die Rise,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 68kozzn2=81pjwk17,PC,28.460s,https://www.youtube.com/watch?v=byfv_gEQfzE,,solo,2022-05-17,1,OnlyPabloS,,,,http://www.speedrun.com/bo2zombies/run/yvr1528z,rejected
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5q8o8k1d,PC,8m 32.550s,https://www.youtube.com/watch?v=FNv6FvsX2vM,,solo,2021-12-10,1,OnlyPabloS,,,,http://www.speedrun.com/bo2zombies/run/y8jqgvdz,rejected
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=21g5knlz,PC,6m 54.910s,https://www.youtube.com/watch?v=eUjHYBNH89I,,solo,2021-12-02,1,OnlyPabloS,,,,http://www.speedrun.com/bo2zombies/run/ywje6r9z,rejected
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5q8o8k1d,PC,9m 41.630s,https://www.youtube.com/watch?v=Wrf1FDK6EM0,,solo,2021-12-01,1,OnlyPabloS,,,,http://www.speedrun.com/bo2zombies/run/z0ow78ez,rejected
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PC,2m 58.860s,https://www.youtube.com/watch?v=59IhqPZte7c,,solo,2021-11-28,1,OnlyPabloS,,,,http://www.speedrun.com/bo2zombies/run/me4r2r8y,rejected
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=21dwgjle,PC,23m 29.010s,https://www.youtube.com/watch?v=kus1g7F4uJ8&t=764s,,solo,2021-06-29,1,OnlyPabloS,,,,http://www.speedrun.com/bo2zombies/run/mkgwn25y,rejected
