game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=gq7gzenq,PC,2m 8.210s,https://youtu.be/-7RA99hd0zA,,solo,2018-10-30,1,Karambit,,,,http://www.speedrun.com/bo4zombies/run/mk9kwv1z,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=5lmn2zmq; 5lyjm0yl=0132y83q; e8mywzx8=21gg9r81,PC,10m 55.180s,https://youtu.be/p0BnsHi2FfU,,solo,2018-10-30,1,Karambit,,,,http://www.speedrun.com/bo4zombies/run/y43q0d2z,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=5lmn2zmq; 5lyjm0yl=0132y83q; e8mywzx8=4lx4gw4q,PC,2m 40.110s,https://youtu.be/Hym02ZALY7s,,solo,2018-10-28,1,Karambit,,,,http://www.speedrun.com/bo4zombies/run/y898o2nm,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=5lmn2zmq; 5lyjm0yl=0132y83q; e8mywzx8=4lx4gw4q,PC,2m 42.110s,https://youtu.be/gMS4sBrdPOM,,solo,2018-10-27,1,Karambit,,,,http://www.speedrun.com/bo4zombies/run/y2qpwv6y,rejected
