game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=0137jrdl; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,PC,1h 6m 44.000s,https://www.twitch.tv/videos/1172501553,,solo,2021-10-09,1,Cheekzs,,,,http://www.speedrun.com/bocwz/run/zqv8vd9m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,Xbox One X,1h 1m 58.880s,http://www.twitch.tv/cheekzs/v/835831761?sr=a&t=7s,,co-op,2020-12-13,2,Cheekzs,Elicummins,,,http://www.speedrun.com/bocwz/run/mk81p0lm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,Xbox One X,1h 15m 15.000s,http://www.twitch.tv/cheekzs/v/835121426?sr=a&t=5125s,,co-op,2020-12-12,2,Cheekzs,Elicummins,,,http://www.speedrun.com/bocwz/run/mr9xoo8m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,Xbox One X,59m 30.000s,https://youtu.be/-xFHC9Tv6Ds,,solo,2020-12-11,1,Cheekzs,,,,http://www.speedrun.com/bocwz/run/yj6960gz,rejected
