game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,Xbox Series S,1m 11.270s,https://www.youtube.com/watch?v=jrUJJOzA7sU,,solo,2025-01-02,1,this_is_a_epic_name,,,,http://www.speedrun.com/BO6Zombies/run/yje6olgm,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; 68k1vezl=q75rg8y1,Xbox Series S,43m 44.420s,https://youtu.be/oj4wtW9VuzY,,solo,2024-12-31,1,this_is_a_epic_name,,,,http://www.speedrun.com/BO6Zombies/run/mr094v2m,verified
