game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=0q5zd5nq; gnxj7pgl=810y752l,PC,4m 16.083s,https://www.youtube.com/watch?v=SGuDl4AcjO0&feature=youtu.be,,co-op,2020-11-27,2,R3nart55,RowanDongen,,,http://www.speedrun.com/bocwz/run/zxd3x3ey,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,9m 30.049s,https://youtu.be/-fMOrpmTVYk,,solo,2020-11-23,1,R3nart55,,,,http://www.speedrun.com/bo3zombies/run/m3gl2pgz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,11m 34.025s,https://youtu.be/RTNNUz55Ri8,,solo,2020-11-22,1,R3nart55,,,,http://www.speedrun.com/bo3zombies/run/zgv2prez,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=5leo55qo; wlewprl6=21dvj0j1,PlayStation 4,15m 29.067s,https://youtu.be/bnTsswYAuoA,,solo,2020-06-16,1,R3nart55,,,,http://www.speedrun.com/bo3zombies/run/mk3dw85z,rejected
