game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=5leo55qo; ylp4kjlg=z195dr0q,PC,3m 9.600s,https://youtu.be/7CKfiVr8xe4,,solo,2024-04-01,1,Blixzoz,,,,http://www.speedrun.com/bo3zombies/run/mkp5711y,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=5leo55qo; 2lg7k6lp=mlnexenl,PC,17.010s,https://youtu.be/9rhG7MT9Gi0,,solo,2024-04-01,1,Blixzoz,,,,http://www.speedrun.com/bo3zombies/run/zp683pgm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 43.850s,https://youtu.be/DsbSFEL0gSo,,solo,2024-03-31,1,Blixzoz,,,,http://www.speedrun.com/bo3zombies/run/y8we315y,rejected
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=5leo55qo; onvmywnm=4lx0d42l,PC,3m 0.430s,https://youtu.be/2uuYdApxzxU,,solo,2024-03-31,1,Blixzoz,,,,http://www.speedrun.com/bo3zombies/run/zxqo9kqm,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=5leo55qo; 2lg7e6lp=5le3v85q,PC,2m 53.110s,https://youtu.be/5LZyNZukkXY,,solo,2024-03-31,1,Blixzoz,,,,http://www.speedrun.com/bo3zombies/run/zq8vk38z,rejected
