game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,24m 28.090s,https://www.youtube.com/watch?v=N3AV-kvEgGc,,co-op,2020-11-22,2,XDkellan1,kanwebbda,,,http://www.speedrun.com/bocwz/run/ylvnd43m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,33m 10.090s,https://www.youtube.com/watch?v=8-dmloELkzI,,solo,2020-11-21,1,kanwebbda,,,,http://www.speedrun.com/bocwz/run/y4eg8pnm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,35m 8.090s,https://www.youtube.com/watch?v=p4qoCHfzSyc,,solo,2020-11-19,1,kanwebbda,,,,http://www.speedrun.com/bocwz/run/m3gxpn6z,verified
