game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=0q56pm1p; wlewprl6=21dv3g31,PlayStation 4,13m 51.000s,https://www.youtube.com/watch?v=AY2ccNYYDNI,,co-op,2023-10-18,2,YTxdBlackwood,NateThekid,,,http://www.speedrun.com/bo3zombies/run/y9knjnrz,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=0q56pm1p; gnx65jnv=21gnogml,PlayStation 4,36m 57.000s,https://www.youtube.com/watch?v=gcQ9MEpKqeo,,co-op,2023-10-14,2,YTxdBlackwood,NateThekid,,,http://www.speedrun.com/bo3zombies/run/m3knd4gy,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=0q56pm1p; ylp4kjlg=013w57kq,PlayStation 4,15m 42.820s,https://www.youtube.com/watch?v=hep1oOkZwKo,,co-op,2023-10-13,2,YTxdBlackwood,NateThekid,,,http://www.speedrun.com/bo3zombies/run/zg8v05ny,verified
