game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,59.060s,https://youtu.be/ZhlpTsXAuzM,,solo,2023-09-28,1,Pooble,,,,http://www.speedrun.com/bo3zombies/run/yoojn65y,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=814794v1; 2lg396np=5leo55qo; onvmywnm=klrj942q,PC,2m 14.410s,https://youtu.be/LFO0nQB9_g8,,solo,2023-09-27,1,Pooble,,,,http://www.speedrun.com/bo3zombies/run/m3k13qqy,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=gq79pjvl,PC,3m 26.710s,https://youtu.be/WDMVFKUMWgQ,,solo,2023-09-16,1,Pooble,,,,http://www.speedrun.com/bo3zombies/run/z1k3vx9y,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=5leo55qo; 2lg7e6lp=21ge5dml,PC,1m 15.560s,https://youtu.be/b46AJq4zLYI,,solo,2023-09-12,1,Pooble,,,,http://www.speedrun.com/bo3zombies/run/zxwv4vkm,verified
