game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=0q5zd5nq; gnxj7pgl=810y752l,PlayStation 4,4m 52.750s,https://youtu.be/mfaNY3ZiZaM,,co-op,2021-01-14,2,Animaphobia,OmniFaction,,,http://www.speedrun.com/bocwz/run/zp3nxjgm,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=jq67v3j1; 5lyjm0yl=rqvmnpwq; e8mywzx8=21gg9r81,PlayStation 4,6m 1.267s,https://youtu.be/WOLQLunVBmY,,co-op,2021-07-22,2,OmniFaction,DarkEmpireOne,,,http://www.speedrun.com/bo4zombies/run/z0rvq69z,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=5lmnwj0q; 5lyjm0yl=rqvmnpwq; 0nw2z6xn=gq7gzenq,PlayStation 4,2m 12.883s,https://youtu.be/vs2dbEJCJx0,,co-op,2021-07-20,2,DarkEmpireOne,OmniFaction,,,http://www.speedrun.com/bo4zombies/run/zn1dpqlm,verified
