game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=0q56pm1p; p85pd5lg=rqvvk45q,PlayStation 4,55m 6.018s,https://youtu.be/s89wk0PXH6k,,co-op,2017-08-22,2,Nic_Fleury,Geskers,,,http://www.speedrun.com/bo3zombies/run/yo47d51m,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PlayStation 4,38m 27.014s,https://youtu.be/BBszXF_sfxU,,solo,2017-08-15,1,Nic_Fleury,,,,http://www.speedrun.com/bo3zombies/run/zxvg24ey,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PlayStation 4,38m 55.047s,https://youtu.be/_HjP7IsCeao,,solo,2017-08-11,1,Nic_Fleury,,,,http://www.speedrun.com/bo3zombies/run/yvg2kx6y,verified
