game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,59.780s,https://youtu.be/ixcTlxXIvI4,,solo,2022-09-18,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/zq9eog1y,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=xqk950y1,PC,3m 26.870s,https://youtu.be/mJW7GlQfwzY,,solo,2022-09-18,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/z0ln2p8z,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=p12opmkl,PC,4m 15.160s,https://youtu.be/Uowv3swSAuc,,solo,2022-01-01,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/yleo4qrz,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=p12opmkl,PC,4m 15.160s,https://www.youtube.com/watch?v=Uowv3swSAuc&t=156s,,solo,2022-01-01,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/yor97q0y,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=xqk950y1,PC,3m 33.890s,https://www.youtube.com/watch?v=j2AGKsveonM,,solo,2021-12-31,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/ydw0xjqm,rejected
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=xqk950y1,PC,3m 33.390s,https://www.youtube.com/watch?v=j2AGKsveonM,,solo,2021-12-31,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/mej9893y,rejected
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=xqk950y1,PC,3m 33.390s,https://youtu.be/j2AGKsveonM,,solo,2021-12-31,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/z12853ry,rejected
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=xqk950y1,PC,3m 33.390s,https://youtu.be/j2AGKsveonM,,solo,2021-12-31,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/ydw99vxm,rejected
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=xqk950y1,PC,3m 33.390s,https://www.youtube.com/watch?v=j2AGKsveonM&t=27s,,solo,2021-12-31,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/mke7grlm,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=rqvexz61; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,1m 4.000s,https://www.youtube.com/watch?v=yQtXLFN7PpY,,solo,2021-12-30,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/ylevj72z,rejected
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,27.310s,https://www.youtube.com/watch?v=KRtZFx4VdfE,,solo,2021-12-29,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/zgdv24ez,rejected
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,26.160s,https://www.youtube.com/watch?v=KRtZFx4VdfE,,solo,2021-12-29,1,raunox,,,,http://www.speedrun.com/bo3zombies/run/yvq97gom,rejected
