game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdk2lp,PC,1m 57.000s,https://www.youtube.com/watch?v=Bavq2m0mwgg,,solo,2022-08-03,1,AlexTheDragon,,,,http://www.speedrun.com/bo3zombies/run/m7x9nr0y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=jqzdk2lp,PC,5m 25.000s,https://www.youtube.com/watch?v=g-erbhKSI0o,,solo,2022-07-20,1,AlexTheDragon,,,,http://www.speedrun.com/bo3zombies/run/zgp0lvdz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=5leo55qo; 6njz75l4=jqzdk2lp,PC,5m 33.490s,https://www.youtube.com/watch?v=zFCGZWHqDa4,,solo,2022-07-20,1,AlexTheDragon,,,,http://www.speedrun.com/bo3zombies/run/znpl22vm,verified
