game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,PC,25m 36.500s,https://youtu.be/r4ZEf3FU-uc,,solo,2025-03-17,1,helloxander,,,,http://www.speedrun.com/iwzombies/run/m3wvq6wy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,22m 4.830s,https://www.youtube.com/watch?v=Kb-HfjlwNf4,,solo,2025-03-16,1,helloxander,,,,http://www.speedrun.com/iwzombies/run/z080o38m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,PC,2m 7.810s,https://www.youtube.com/watch?v=lsZQ5HlUwk8,,solo,2025-03-16,1,helloxander,,,,http://www.speedrun.com/iwzombies/run/zq2pvx9z,verified
