game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0q5zm8mq; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,Xbox One S,43m 5.000s,https://www.twitch.tv/videos/914422649,,co-op,2021-02-14,2,Gooseman4939,CrankyCat20,,,http://www.speedrun.com/bocwz/run/z06oxgoz,rejected
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,Xbox One S,50m 15.000s,https://www.twitch.tv/videos/914422649,,co-op,2021-02-14,2,Gooseman4939,CrankyCat20,,,http://www.speedrun.com/bocwz/run/yw0jnl2m,verified
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,Xbox One S,43m 5.000s,https://www.twitch.tv/videos/907961915,,co-op,2021-02-09,2,Gooseman4939,CrankyCat20,,,http://www.speedrun.com/bocwz/run/z067rrez,rejected
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=rqvo0d7l; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,Xbox One S,43m 5.000s,https://www.twitch.tv/videos/907972202,,co-op,2021-02-09,2,Gooseman4939,CrankyCat20,,,http://www.speedrun.com/bocwz/run/zp3811gm,rejected
