game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,2m 46.767s,https://youtu.be/rHuOjkYOA80,,solo,2021-06-24,1,Quate_,,,,http://www.speedrun.com/bo3zombies/run/zggjg5dz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,2m 54.767s,https://youtu.be/okQqjGwyQaU,,solo,2021-04-25,1,Quate_,,,,http://www.speedrun.com/bo3zombies/run/zp14kgnz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5q82d8rq,PC,13m 58.267s,https://youtu.be/okQqjGwyQaU,,solo,2021-04-25,1,Quate_,,,,http://www.speedrun.com/bo3zombies/run/ydr6vgqz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,2m 57.750s,https://youtu.be/hyY038NAPVM,,solo,2021-04-24,1,Quate_,,,,http://www.speedrun.com/bo3zombies/run/yo7j0r1m,verified
