game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=5q8zn5kq; 5lyjm0yl=0132y83q; kn0zwr38=8107235l,Xbox One,44m 3.000s,https://www.twitch.tv/videos/1816428019?t=00h24m27s,,solo,2023-05-10,1,pingwin631,,,,http://www.speedrun.com/bo4zombies/run/m3qo0ndy,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=rqvmnpwq; 0nw2z6xn=gq7gzenq,Xbox One,3m 36.034s,https://youtu.be/CuWhfohf_SI,,co-op,2020-07-30,2,pingwin631,A5tronomical,,,http://www.speedrun.com/bo4zombies/run/mk3wgw1z,rejected
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=rqvmnpwq; 0nw2z6xn=gq7gzenq,Xbox One,2m 36.034s,https://youtu.be/CuWhfohf_SI,,co-op,2020-07-30,2,pingwin631,A5tronomical,,,http://www.speedrun.com/bo4zombies/run/y258x69y,verified
