game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=0q56pm1p; 2lg7k6lp=81p46ng1,PC,3m 4.550s,https://www.youtube.com/watch?v=i2_z9UX2ViA&t=12s&ab_channel=vRifty,,co-op,2021-08-21,2,dentifiy,vRifty,,,http://www.speedrun.com/bo3zombies/run/ywkdo62y,rejected
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=0q56pm1p; 2lg7k6lp=mlnexenl,PC,1m 15.050s,https://youtu.be/rnsaiggqzm8,,co-op,2021-08-21,2,dentifiy,vRifty,,,http://www.speedrun.com/bo3zombies/run/m775j25m,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=0q56pm1p; 2lg7k6lp=klrj9pjq,PC,1m 51.333s,https://youtu.be/v14zRSmhJwU,,co-op,2021-08-21,2,dentifiy,vRifty,,,http://www.speedrun.com/bo3zombies/run/yj56rwnm,verified
