game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=81w57rv1; 2lg396np=4lxz9212; 2lg7e6lp=21ge5dml,PC,1m 3.000s,https://www.youtube.com/watch?v=qusPfrcUKF0,https://www.youtube.com/watch?v=IrTT0HY1FhY; https://youtu.be/w3ocHH5s5-w,co-op,2025-12-15,3,CrimsonClover,idk_lxcas,KindOfARaptor,,http://www.speedrun.com/bo3zombies/run/z17q957z,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=4lxz9212; 2lg7e6lp=21ge5dml,PC,1m 12.790s,https://www.youtube.com/watch?v=ehieMq2a1D8,https://www.youtube.com/watch?v=7IA8n3yMr58; https://youtu.be/fZ2Dp-WcisY,co-op,2025-12-15,3,CrimsonClover,idk_lxcas,KindOfARaptor,,http://www.speedrun.com/bo3zombies/run/y68oq1pz,verified
