game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=21d3635q; 2lg396np=5leo55qo; p85pd5lg=zqom2np1,PlayStation 4,2m 33.000s,https://youtu.be/gtnJrvWavW0?si=aFSsphx4AEfDWD7m,,solo,2024-09-20,1,RicSG,,,,http://www.speedrun.com/bo3zombies/run/z0qjglom,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=klryxymq; 2lg396np=5leo55qo; p85pd5lg=zqom2np1,PlayStation 4,2m 48.000s,https://youtu.be/7-HKJfVMKVg?si=M6LmOXWcdvHwd9-J,,solo,2024-09-20,1,RicSG,,,,http://www.speedrun.com/bo3zombies/run/z5gpqxjm,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=gq75zgy1,PlayStation 4,48m 55.000s,https://youtu.be/szccT7gkDq4?si=OvEmNxUlT2kC38sc,,solo,2024-09-07,1,RicSG,,,,http://www.speedrun.com/bo3zombies/run/y2weo96y,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=gq75zgy1,PlayStation 4,55m 40.000s,https://youtu.be/HiqO7Qkp6TM?si=Vn4tJn3_arcztKTy,,solo,2024-08-20,1,RicSG,,,,http://www.speedrun.com/bo3zombies/run/mrxn2d2m,verified
