game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=gq72gkn1,PlayStation 4,11m 59.770s,https://www.youtube.com/watch?v=eTxC-iRreS4,,solo,2020-12-01,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/z09xnxoz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=gq72gkn1,PlayStation 4,11m 31.333s,https://www.youtube.com/watch?v=rsmjNASHFWA,,solo,2020-11-26,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/m3gqxdwz,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylq5o7lr=5q824ykq,PlayStation 4,42m 46.000s,https://www.youtube.com/watch?v=IlpIabMvZjc,,co-op,2020-10-01,2,Jiyxi,iMeltNerds,,,http://www.speedrun.com/iwzombies/run/y2d12r9z,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylq5o7lr=jq6ypon1,PlayStation 4,2m 47.000s,https://www.youtube.com/watch?v=P7SYgbc_Ta8,,solo,2020-10-01,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/zn3rx28y,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=81pen8el,PlayStation 4,28m 39.000s,https://www.youtube.com/watch?v=zmrWkDDljtE,,solo,2020-09-30,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/z1ojqggm,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=81pen8el,PlayStation 4,28m 24.000s,https://www.youtube.com/watch?v=nJPtdiXhV5E,,solo,2020-09-30,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/yo3jlqdy,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylq5o7lr=jq6ypon1,PlayStation 4,2m 50.033s,https://www.youtube.com/watch?v=FOY2eyc-c1s,,co-op,2020-09-30,2,Jiyxi,iMeltNerds,,,http://www.speedrun.com/iwzombies/run/mk82q0vm,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=q65nyr7l; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PlayStation 4,2m 38.267s,https://www.youtube.com/watch?v=EPWE7hdqzAk,,solo,2020-09-28,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/zxdkolqy,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PlayStation 4,2m 42.900s,https://www.youtube.com/watch?v=m5Gyx0OxuTk,,solo,2020-09-28,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/y6rl90py,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=5le28pkl,PlayStation 4,2m 55.000s,https://www.youtube.com/watch?v=3MMbkWqjHys,,solo,2020-09-21,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/me68303z,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=8100pnj1,PlayStation 4,2m 39.000s,https://www.youtube.com/watch?v=xAGlkQH4SX4&t=1s,,solo,2020-09-21,1,Jiyxi,,,,http://www.speedrun.com/iwzombies/run/zpl09kxm,verified
