game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=5le8vz6l; 5lyjm0yl=0132y83q; 789k790l=jqz4y7kl,PC,2m 8.980s,https://www.youtube.com/watch?v=2rKEjzZksx8,,solo,2024-07-02,1,IsopodsHjk,,,,http://www.speedrun.com/bo4zombies/run/m7nrxn9z,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=814d4oj1; 5lyjm0yl=0132y83q; e8mywzx8=4lx4gw4q,PC,2m 20.420s,https://www.youtube.com/watch?v=FYA9fibz2ys,,solo,2024-07-01,1,IsopodsHjk,,,,http://www.speedrun.com/bo4zombies/run/y6vk9jjm,verified
Call of Duty: Black Ops IIII Zombies,,Classified,789k7y6l=814d4gk1; 5lyjm0yl=0132y83q; onv6omr8=81079epl,PC,2m 26.500s,https://www.youtube.com/watch?v=JfzcrSHzNc4,,solo,2024-06-30,1,IsopodsHjk,,,,http://www.speedrun.com/bo4zombies/run/mrv3kr4z,verified
