game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=5lmnwj0q; 5lyjm0yl=0132y83q; 0nw2z6xn=xqk86k9q,PlayStation 4,4m 59.000s,https://www.youtube.com/watch?v=dAeehrBvges,,solo,2019-05-15,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/mk9jj4vz,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=jqz4y74l,PlayStation 4,28m 43.000s,https://www.youtube.com/watch?v=_BSpivpYBrY,,solo,2019-05-14,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/yl4gw53m,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=zqo3pk4q; 5lyjm0yl=0132y83q; wlex9v28=0q55n6vq,PlayStation 4,2m 4.000s,https://www.youtube.com/watch?v=N_5Uk_83YIg,,solo,2019-05-14,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/zg7452jz,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=5lmn2zmq; 5lyjm0yl=0132y83q; e8mywzx8=814d9ev1,PlayStation 4,15m 8.000s,https://www.youtube.com/watch?v=3mVzUxm2WKU,,solo,2019-05-14,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/yd3k7nqz,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=rqvdzwyq; 5lyjm0yl=0132y83q; 789k790l=klr76wwq,PlayStation 4,14m 12.000s,https://www.youtube.com/watch?v=8N9Q5GmJbuE,,solo,2019-05-14,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/m7prkjwm,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=21ggorx1,PlayStation 4,11m 3.000s,https://www.youtube.com/watch?v=ELVw_QzxFh0,,solo,2019-05-14,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/m7prkk0m,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=jqz4y74l,PlayStation 4,36m 25.000s,https://www.youtube.com/watch?v=VZElMW516EE,,solo,2019-05-12,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/zn4dg47m,verified
Call of Duty: Black Ops IIII Zombies,,Classified,789k7y6l=4lx4dogq; 5lyjm0yl=0132y83q; onv6omr8=9qjdeyoq,PlayStation 4,13m 42.000s,https://www.youtube.com/watch?v=434yI_6xkZI,,solo,2019-05-08,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/y2qljn9y,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=jqz4y74l,PlayStation 4,40m 46.000s,https://www.youtube.com/watch?v=A49-FlgXmPk,,solo,2019-05-08,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/y6pkogpm,verified
Call of Duty: Black Ops IIII Zombies,,Classified,789k7y6l=4lx4dogq; 5lyjm0yl=0132y83q; onv6omr8=9qjdeyoq,PlayStation 4,13m 42.000s,https://www.youtube.com/watch?v=434yI_6xkZI,,solo,2019-05-06,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/y9243xvz,rejected
Call of Duty: Black Ops IIII Zombies,,Classified,789k7y6l=4lx4dogq; 5lyjm0yl=0132y83q; onv6omr8=9qjdeyoq,PlayStation 4,13m 42.000s,https://www.youtube.com/watch?v=434yI_6xkZI,,solo,2019-05-06,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/y2ql0k9y,rejected
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=81wdpz6q; 5lyjm0yl=0132y83q; wlex9v28=0q55n6vq,PlayStation 4,1m 54.000s,https://www.youtube.com/watch?v=SfxoEhMkl3A,,solo,2019-04-30,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/m7pkr90m,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=81wdpz6q; 5lyjm0yl=0132y83q; wlex9v28=0q55n6vq,PlayStation 4,1m 58.000s,https://www.youtube.com/watch?v=6BdWH3ekQxI,,solo,2019-04-26,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/y897kn1m,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=4qy4k37q; 5lyjm0yl=0132y83q; kn0zwr38=jq678371,PlayStation 4,8m 24.000s,https://www.youtube.com/watch?v=o8ewh4OZuak,,solo,2019-04-24,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/zq3l92xy,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=zqo3pk4q; 5lyjm0yl=0132y83q; wlex9v28=5le4ro61,PlayStation 4,8m 20.000s,https://www.youtube.com/watch?v=Tid62yE9bzM,,solo,2019-04-24,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/zq3lee8y,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=4qy4k37q; 5lyjm0yl=0132y83q; kn0zwr38=81w86351,PlayStation 4,17m 14.000s,https://www.youtube.com/watch?v=HASOKyzxXt0,,solo,2019-04-24,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/y897005m,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=814d4oj1; 5lyjm0yl=0132y83q; e8mywzx8=4lx4gw4q,PlayStation 4,3m 15.000s,https://www.youtube.com/watch?v=kbj2JCSTbpI,,solo,2019-04-24,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/y6p1ojpm,verified
Call of Duty: Black Ops IIII Zombies,,Classified,789k7y6l=814d4gk1; 5lyjm0yl=0132y83q; onv6omr8=81079epl,PlayStation 4,2m 57.000s,https://www.youtube.com/watch?v=7R-8-ngSpM0,,solo,2019-04-24,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/y8970g1m,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=zqo3pk4q; 5lyjm0yl=0132y83q; wlex9v28=0q55n6vq,PlayStation 4,2m 37.000s,https://www.youtube.com/watch?v=e8d8fyZS23A,,solo,2019-04-24,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/zn4njg3m,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=013m8dyl; 5lyjm0yl=0132y83q; wlex9v28=0q55n6vq,PlayStation 4,2m 15.000s,https://www.youtube.com/watch?v=mJxLZCBIJ-s,,solo,2019-04-24,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/yj408qgy,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=81wdpz6q; 5lyjm0yl=0132y83q; wlex9v28=0q55n6vq,PlayStation 4,2m 25.000s,https://www.youtube.com/watch?v=gLCyo_Ou7I8,,solo,2019-04-24,1,Naison,,,,http://www.speedrun.com/bo4zombies/run/me8qe23m,verified
