game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=0139rzx1,PC,17m 2.000s,https://www.youtube.com/watch?v=l8LFBL2Fg70,https://youtu.be/XWnfRE8uIUw,co-op,2024-05-13,2,StevRun,KitsunePawb,,,http://www.speedrun.com/iwzombies/run/yjoo44gz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PC,20m 49.880s,https://www.youtube.com/watch?v=UF0swoYycqc,https://www.youtube.com/watch?v=OaBWJC3GlrM,co-op,2023-07-20,2,KitsunePawb,StevRun,,,http://www.speedrun.com/iwzombies/run/y98j2qvz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PC,21m 55.210s,https://youtu.be/CkFCM5jCoQ8,https://www.youtube.com/watch?v=vZfGKCiovXA,co-op,2023-07-04,2,KitsunePawb,StevRun,,,http://www.speedrun.com/iwzombies/run/y98xw62z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=0139rzx1,PC,18m 53.350s,https://youtu.be/xJrFuN_xznE,https://youtu.be/jcA-WX3Ohcg,co-op,2023-07-01,2,StevRun,KitsunePawb,,,http://www.speedrun.com/iwzombies/run/z5pxvodm,verified
