game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 6njo6684=5len58ml,PC,38m 18.270s,https://youtu.be/CtA0HvU0y_I,,solo,2023-02-02,1,JMN6464,,,,http://www.speedrun.com/iwzombies/run/y4gq4xqy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,21m 38.167s,https://youtu.be/qYVxPOVv6Qk,,solo,2023-01-31,1,JMN6464,,,,http://www.speedrun.com/iwzombies/run/yj8p8gnm,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,22m 16.740s,https://youtu.be/42NCbiecgU0,,solo,2023-01-25,1,JMN6464,,,,http://www.speedrun.com/iwzombies/run/meejjl3m,verified
