game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 6njo6684=klrwexm1,PlayStation 4,8m 38.053s,https://www.youtube.com/watch?v=uUwWO-pjxag,,solo,2020-10-18,1,jaqquee,,,,http://www.speedrun.com/iwzombies/run/y2dv105z,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=21d7j651,PlayStation 4,23m 6.917s,https://www.youtube.com/watch?v=dVDT7NqqeHI,,solo,2020-10-13,1,jaqquee,,,,http://www.speedrun.com/iwzombies/run/z099r38z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=5q87x43l,PlayStation 4,32m 1.032s,https://www.youtube.com/watch?v=Uids9hOCgsM&t=44s,,solo,2020-10-11,1,jaqquee,,,,http://www.speedrun.com/iwzombies/run/zq443l8m,verified
