game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Mob of the Dead,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; p85revng=5lmxo341,PC,2m 42.850s,https://www.youtube.com/watch?v=phfuaK69ziU,,solo,2022-04-11,1,LORE,,,,http://www.speedrun.com/bo2zombies/run/m769x89y,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,2m 58.670s,https://youtu.be/qA_ojCqqqBA,,solo,2020-11-22,1,LORE,,,,http://www.speedrun.com/bo2zombies/run/y8r08owm,verified
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=klrj632q,PC,2m 41.210s,https://youtu.be/Xn-uRdNDKQQ,,solo,2020-11-22,1,LORE,,,,http://www.speedrun.com/bo2zombies/run/ywdv3o9z,verified
