game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PC,5m 6.140s,https://www.twitch.tv/videos/546141719,,solo,2020-02-03,1,ItsColinn,,,,http://www.speedrun.com/bo3zombies/run/y95wv1rz,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=xqk86k9q,PC,6m 1.070s,https://www.twitch.tv/videos/324122419,,solo,2018-10-17,1,ItsColinn,,,,http://www.speedrun.com/bo4zombies/run/me83kv0m,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=xqk86k9q,PC,6m 45.230s,https://www.youtube.com/watch?v=sMDl2O5qYas&feature=youtu.be,,solo,2018-10-15,1,ItsColinn,,,,http://www.speedrun.com/bo4zombies/run/yo2rg41z,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=gq7gzenq,PC,2m 38.170s,https://www.youtube.com/watch?v=87G5QNi9018&feature=youtu.be,,solo,2018-10-14,1,ItsColinn,,,,http://www.speedrun.com/bo4zombies/run/y2q0606y,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=gq7gzenq,PC,2m 34.410s,https://www.youtube.com/watch?v=-2lT8qKWkNo,,solo,2018-10-14,1,ItsColinn,,,,http://www.speedrun.com/bo4zombies/run/y6pnwn1m,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=gq7gzenq,PC,2m 25.210s,https://www.youtube.com/watch?v=bnRJ0fA96VY&feature=youtu.be,,solo,2018-10-14,1,ItsColinn,,,,http://www.speedrun.com/bo4zombies/run/zq30nnry,verified
