game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,PlayStation 3,2m 5.366s,https://youtu.be/aanK3Ifkc2U?si=W7tYKr1iHZeASWRa,,solo,2023-11-22,1,Narco,,,,http://www.speedrun.com/bo3zombies/run/me01xg2z,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PlayStation 4,2m 10.120s,https://youtu.be/fv2pmLaaADA?si=Stxs7479AF81TINj,,solo,2023-11-22,1,Narco,,,,http://www.speedrun.com/bo3zombies/run/y8kx1kxy,rejected
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=5leo55qo; ylqx7m8r=013w4rdq,PlayStation 4,2m 17.328s,https://youtu.be/qEroFUgSRyQ?si=16xYV8j-yrnL0-bG,,solo,2023-11-22,1,Narco,,,,http://www.speedrun.com/bo3zombies/run/yjwd39om,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PlayStation 4,2m 2.120s,https://youtu.be/x1iKR0uJWAA,,solo,2023-11-21,1,Narco,,,,http://www.speedrun.com/bo3zombies/run/zqd7xj1m,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=21dv3g31,PlayStation 4,9m 46.467s,https://youtu.be/XSXBBu3sFqI?si=ljm7-CClWNnT2_Df,,solo,2023-11-20,1,Narco,,,,http://www.speedrun.com/bo3zombies/run/y8k84nny,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=21dv3g31,PlayStation 4,37.500s,https://youtu.be/gLaKPdIdwv0?si=pdJ4uAJvkW3TsBnx,,solo,2023-11-15,1,Narco,,,,http://www.speedrun.com/bo3zombies/run/y6q0l4qz,rejected
