game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=0q56pm1p; 2lg7k6lp=5le3mzpq,PC,14m 24.130s,https://www.youtube.com/watch?v=U0BlAmGJunE,,co-op,2018-04-05,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/y8q4101y,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=0q56pm1p; 6njz75l4=5q82d8rq,PC,13m 53.190s,https://www.youtube.com/watch?v=k1UVFwrKoBc,,co-op,2018-04-05,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/z0e41n9m,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=0q56pm1p; wlewprl6=21dv3g31,PC,15m 34.150s,https://www.youtube.com/watch?v=MQnIt4maS6M,,co-op,2018-04-05,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/zn8lrj7z,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=0q56pm1p; 38dw04n0=4qy5jo31,PC,13m 6.020s,https://www.youtube.com/watch?v=rTyKB3koGsY,,co-op,2018-04-05,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/m794gn4y,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=0q56pm1p; ylqx7m8r=8100wjj1,PC,14m 2.030s,https://www.youtube.com/watch?v=_oxt0agOnKs,,co-op,2018-04-05,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/m3d45wdz,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=0q56pm1p; p85pd5lg=mlndzm61,PC,12m 15.230s,https://youtu.be/5LE1ps7jup0,,co-op,2018-04-05,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/yl9wkjxy,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=0q56pm1p; gnx65jnv=9qjwxn01,PC,13m 15.130s,https://youtu.be/Buxi5zhMviA,,co-op,2018-04-05,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/zgn0w6jy,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=0q56pm1p; ylp4gjlg=0q5xgzr1,PC,12m 40.160s,https://youtu.be/xA9vES-mhCU,,co-op,2018-04-05,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/mek5o22m,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=5lm8g6yq,PC,13m 6.210s,https://www.youtube.com/watch?v=lKplt1LWtnQ,,co-op,2018-04-04,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/yo4g2d0m,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=0q56pm1p; 2lg7e6lp=jq6yzrn1,PC,17m 37.210s,https://www.youtube.com/watch?v=99Zge1iPu-8,,co-op,2018-04-04,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/y97q2xem,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=0q56pm1p; jlzz6xl2=zqomrog1,PC,13m 27.050s,https://www.youtube.com/watch?v=2ugCcrXKVyk,,co-op,2018-04-04,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/z5o41e5y,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=0q56pm1p; ylp4kjlg=013w57kq,PC,12m 53.170s,https://youtu.be/JneWmE5UvBA,,co-op,2018-04-04,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/yjkv49om,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=5q8d4r3l; 2lg396np=0q56pm1p; 789ye5nw=rqv6eo5l,PC,13m 34.170s,https://youtu.be/1-VEv4pfr8A,,co-op,2018-04-04,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/yl9w4xxy,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=0q56pm1p; onvmywnm=81we5o91,PC,13m 30.040s,https://youtu.be/HXtsDQdrk8E,,co-op,2018-04-04,2,Aquatic,IdentitY,,,http://www.speedrun.com/bo3zombies/run/yvgkjkxy,verified
