game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Origins,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; gnxjp4lv=814prw1d,PC,22m 58.920s,https://youtu.be/R7riFFsE9kc,,solo,2023-07-19,1,kaedons,,,,http://www.speedrun.com/bo2zombies/run/y2gk435z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=814jp01d; wlewprl6=1py09481,PC,16m 27.320s,https://www.youtube.com/watch?v=CjR3NrbnqbE,,co-op,2025-06-05,4,ScottyDogs007,sablefarts,cbrnn,kaedons,http://www.speedrun.com/bo3zombies/run/m7vlgdem,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=5q8d4d3l; 2lg396np=814jp01d; p85pd5lg=zqov8p1y,PC,2m 3.700s,https://www.youtube.com/watch?v=6DutXkztIUo,,co-op,2024-05-07,4,nikolaieu,cbrnn,t5kow,kaedons,http://www.speedrun.com/bo3zombies/run/zxqwkpgm,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=5lmg2wml; 2lg396np=814jp01d; ylp4gjlg=4qy707dq,PC,2m 17.250s,https://www.youtube.com/watch?v=NHgaaFoVhUM,,co-op,2024-04-27,4,nikolaieu,cbrnn,Seqn3,kaedons,http://www.speedrun.com/bo3zombies/run/zgl2drvm,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=5q8zn5kq; 5lyjm0yl=0132y83q; kn0zwr38=zqonzd2l,PC,29m 30.550s,https://www.youtube.com/watch?v=FkzPVdLGK0Q&ab_channel=kaedons,,solo,2024-04-11,1,kaedons,,,,http://www.speedrun.com/bo4zombies/run/mrv6pkdz,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=mln3grdq; 5lyjm0yl=rqvmnpwq; kn0zwr38=9qjdpjgq,PC,30.580s,https://youtu.be/P6iyy-tNzgQ,,co-op,2023-10-16,2,Rorek1,kaedons,,,http://www.speedrun.com/bo4zombies/run/z1k8x3wy,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=mln3grdq; 5lyjm0yl=0132y83q; kn0zwr38=5lmn7z4q,PC,1m 18.140s,https://youtu.be/6jxSSrVJAKc,,solo,2023-10-15,1,kaedons,,,,http://www.speedrun.com/bo4zombies/run/y6q6r86z,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=5q8zn5kq; 5lyjm0yl=0132y83q; kn0zwr38=5lmn7z4q,PC,1m 31.120s,https://youtu.be/Rd_d6OjLl9M,,solo,2023-10-15,1,kaedons,,,,http://www.speedrun.com/bo4zombies/run/y8kvr2ny,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=mln3grdq; 5lyjm0yl=0132y83q; kn0zwr38=9qjdpjgq,PC,32.070s,https://www.youtube.com/watch?v=Y8cXZHQXKk8&ab_channel=kaedons,,solo,2023-10-14,1,kaedons,,,,http://www.speedrun.com/bo4zombies/run/y6q63pjz,verified
