game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21dvo6j1,PC,2m 39.310s,https://youtu.be/02yL31bMWzQ,,solo,2025-08-01,1,1Ruann,,,,http://www.speedrun.com/bo2zombies/run/mrdxlddz,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,2m 39.170s,https://youtu.be/YK-2rr2Cs1A,,solo,2025-07-29,1,1Ruann,,,,http://www.speedrun.com/bo2zombies/run/mkw1795m,verified
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,2m 39.170s,https://youtu.be/YK-2rr2Cs1A,,solo,2025-07-29,1,1Ruann,,,,http://www.speedrun.com/bo2zombies/run/y6je9ljm,rejected
