game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=xqk968n1,PC,2m 55.900s,https://www.youtube.com/watch?v=QEnLIDAEkVs,,solo,2025-12-27,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/zq5dqlxz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 36.950s,https://www.youtube.com/watch?v=i7qHkbedwUs,,solo,2025-12-27,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/y40klddz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 54.900s,https://www.youtube.com/watch?v=0QRUtbG3dgI,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/y40kx32z,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=9qjx2x3l; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,PC,2m 56.850s,https://www.youtube.com/watch?v=V0J0EgApsMw,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/y68q901z,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,PC,2m 54.100s,https://www.youtube.com/watch?v=y9RHs2QnQmE,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/yv5vo04m,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=4qyj7j2q; 2lg396np=5leo55qo; ylqx7m8r=013w4rdq,PC,3m 14.850s,https://www.youtube.com/watch?v=8AiCEfMz_yY,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/z0kx7p4m,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=013w4rdq,PC,3m 16.800s,https://www.youtube.com/watch?v=kaG6LWR9Z2A,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/y2rk7p6m,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PC,2m 52.900s,https://www.youtube.com/watch?v=l-Kq0ZtJmDw,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/m32k73wy,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=5leo55qo; 6njz75l4=5lm8wnjq,PC,2m 57.460s,https://www.youtube.com/watch?v=I55S1W1DsP4,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/zx5wo7qm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=z198x88q; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,3m 6.800s,https://www.youtube.com/watch?v=_UTtI0HZtd4,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/mr52n72y,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 44.730s,https://www.youtube.com/watch?v=kLU7q6r4uq8,,solo,2025-12-26,1,Paradoxzy,,,,http://www.speedrun.com/bo3zombies/run/m7v3760m,verified
