game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdxwgq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,3m 31.640s,https://www.youtube.com/watch?v=f9UY4FE6-Ds,,solo,2024-11-01,1,FlipFlopps,,,,http://www.speedrun.com/BO6Zombies/run/z1n0owgy,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=lr3y3vol; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,5m 37.650s,https://youtu.be/5xPwl1bjW2U,,solo,2024-10-31,1,FlipFlopps,,,,http://www.speedrun.com/BO6Zombies/run/yox8jejy,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,2m 56.500s,https://youtu.be/0hxSO61-MuI,,solo,2024-10-30,1,FlipFlopps,,,,http://www.speedrun.com/BO6Zombies/run/ydlo710z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=lmo4od01; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,16m 16.110s,https://youtu.be/Z7MoliU9iCA,,solo,2024-10-29,1,FlipFlopps,,,,http://www.speedrun.com/BO6Zombies/run/ywx5od2m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q8kdxwgq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,3m 48.640s,https://youtu.be/MUpm0pcOC6E,,solo,2024-10-29,1,FlipFlopps,,,,http://www.speedrun.com/BO6Zombies/run/z1n701wy,verified
