game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=gq75zgy1,PC,58m 19.660s,https://youtu.be/Fy_Slb7yxQU,,solo,2024-10-06,1,LiLReii,,,,http://www.speedrun.com/bo3zombies/run/y2wwjn5y,verified
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=p12v5gdq,PC,1h 10m 31.480s,https://youtu.be/dYRXvQ0_Y-c,,solo,2024-09-22,1,LiLReii,,,,http://www.speedrun.com/bo3zombies/run/zxxwl1kz,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=xqkd5nl9,PC,43m 22.490s,https://youtu.be/U-vRZrAWMAI,,solo,2024-09-15,1,LiLReii,,,,http://www.speedrun.com/bo3zombies/run/y6e2pv0z,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,45m 43.810s,https://youtu.be/Nfy9FoJQ6Yc,,solo,2024-08-16,1,LiLReii,,,,http://www.speedrun.com/bo3zombies/run/y4lr04kz,verified
