game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=0q5g472l; 2lg396np=0q56pm1p; ql659jn9=0q5x78m1,PlayStation 4,2m 33.490s,https://youtu.be/p6rQlmzMVzs,,co-op,2018-05-05,2,TheYabsterman,FrankieDeegan123,,,http://www.speedrun.com/bo3zombies/run/yl9g30ry,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=0q56pm1p; onvmywnm=4lx0d42l,PlayStation 4,3m 0.040s,https://youtu.be/6h_QkTvawbI,,co-op,2018-05-05,2,TheYabsterman,FrankieDeegan123,,,http://www.speedrun.com/bo3zombies/run/zpq7n4gy,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=jqzxgy81; 2lg396np=0q56pm1p; ylp4kjlg=z195dr0q,PlayStation 4,2m 38.980s,https://youtu.be/ihPXsi39Tlc,,co-op,2018-05-05,2,TheYabsterman,FrankieDeegan123,,,http://www.speedrun.com/bo3zombies/run/ydqk86jm,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=5q8d4r3l; 2lg396np=0q56pm1p; 789ye5nw=p12o4z7l,PlayStation 4,2m 23.190s,https://youtu.be/_wvOTpvqdro,,co-op,2018-05-05,2,TheYabsterman,FrankieDeegan123,,,http://www.speedrun.com/bo3zombies/run/zxve9k5y,rejected
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=0q56pm1p; 2lg7k6lp=81p46ng1,PlayStation 4,2m 59.150s,https://youtu.be/whxdhaiFpno,,co-op,2018-05-05,2,TheYabsterman,FrankieDeegan123,,,http://www.speedrun.com/bo3zombies/run/zq6xkrxy,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=0135x4xq; 2lg396np=0q56pm1p; 2lg7e6lp=5le3v85q,PlayStation 4,3m 25.270s,https://youtu.be/Ruhi3Mk5rG8,,co-op,2018-05-05,2,TheYabsterman,FrankieDeegan123,,,http://www.speedrun.com/bo3zombies/run/mrq3j54y,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=814jp01d; wlewprl6=jq6yg731,PlayStation 4,3m 29.810s,https://youtu.be/rKxer-alhI4,,co-op,2018-05-01,4,owend2014,TheYabsterman,JakeTheSnakeLFC,FrankieDeegan123,http://www.speedrun.com/bo3zombies/run/y8q7gony,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=4lxz9212; wlewprl6=jq6yg731,PlayStation 4,3m 5.910s,https://youtu.be/8HiDcBrANdU,,co-op,2018-05-01,3,owend2014,TheYabsterman,FrankieDeegan123,,http://www.speedrun.com/bo3zombies/run/zn8n547z,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=814jp01d; 38dw04n0=81wer8o1,PlayStation 4,2m 14.040s,https://youtu.be/LYcRyQ4TjGA,,co-op,2018-04-30,4,owend2014,TheYabsterman,JakeTheSnakeLFC,FrankieDeegan123,http://www.speedrun.com/bo3zombies/run/m3dpwqqz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=814jp01d; 6njz75l4=5lm8wnjq,PlayStation 4,2m 46.550s,https://youtu.be/QNsyQKz_ugE,,co-op,2018-04-30,4,owend2014,TheYabsterman,JakeTheSnakeLFC,FrankieDeegan123,http://www.speedrun.com/bo3zombies/run/yjk0e2nm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=4lxz9212; jlzz6xl2=814k4d0l,PlayStation 4,2m 29.770s,https://youtu.be/z9tXeKLcjsc,,co-op,2018-04-30,3,TheYabsterman,JakeTheSnakeLFC,FrankieDeegan123,,http://www.speedrun.com/bo3zombies/run/mk46oq5y,verified
