game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,30m 31.000s,https://www.youtube.com/watch?v=bVQWcIMSgek&ab_channel=MrK,,co-op,2021-01-29,2,NICKtheOLAS,Just_Pingu,,,http://www.speedrun.com/bocwz/run/mk73x4xy,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,32m 4.000s,https://www.youtube.com/watch?v=e3XJGJ5U5K8&ab_channel=MrK,,solo,2021-01-28,1,Just_Pingu,,,,http://www.speedrun.com/bocwz/run/y665gdqy,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,38m 13.000s,https://youtu.be/i0IJkeyZBZI,,solo,2021-01-27,1,Just_Pingu,,,,http://www.speedrun.com/bocwz/run/yj1l6qoy,verified
