game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=z19xr7j1,Xbox One,35m 11.079s,https://www.youtube.com/watch?v=AnHLvATynJ0,,solo,2020-04-18,1,EditzHD,,,,http://www.speedrun.com/iwzombies/run/yokj6x0z,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=z19xr7j1,Xbox One,49m 29.000s,https://www.youtube.com/watch?v=mD6IjiKw1Bw&t=14s,,co-op,2019-10-06,2,EditzHD,S7XRMZ,,,http://www.speedrun.com/iwzombies/run/y6l0e40y,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=z19xr7j1,Xbox One,51m 56.083s,https://www.youtube.com/watch?v=stNWqCho3Pg&t=1580s,,co-op,2019-10-05,2,EditzHD,S7XRMZ,,,http://www.speedrun.com/iwzombies/run/m7q63o9z,verified
