game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 41.270s,https://youtu.be/XthMVnB1Yvk,,solo,2024-11-03,1,TheChosenWolf,,,,http://www.speedrun.com/BO6Zombies/run/zqqn8qrz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,9m 2.000s,https://youtu.be/MNwAQEjJLWw,,solo,2024-10-30,1,TheChosenWolf,,,,http://www.speedrun.com/BO6Zombies/run/zqqnkv1z,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,2m 1.400s,https://youtu.be/vvft5WsFyfU,,solo,2024-10-30,1,TheChosenWolf,,,,http://www.speedrun.com/BO6Zombies/run/z5gn515m,verified
