game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,1m 19.830s,https://www.youtube.com/watch?v=qhzd3vPrK2M&list=PL7358XWSc7_WlEwQfdXqY4RbEVfdKy2cS&index=1,,solo,2025-01-20,1,itsFoxes,,,,http://www.speedrun.com/BO6Zombies/run/y4j7njqy,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=q75rdxp1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; wlegod2n=1gn2dp6l,PC,5m 13.210s,https://www.youtube.com/watch?v=MS9qzd1LVLg,,solo,2025-01-05,1,itsFoxes,,,,http://www.speedrun.com/BO6Zombies/run/men9x50m,verified
Call of Duty: Black Ops 6 Zombies,,Citadelle des Morts ,789vy65n=1928mw8q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; wlegod2n=1gn2dp6l,PC,1m 9.750s,https://www.youtube.com/watch?v=D0EM8hpwmkQ,,solo,2025-01-02,1,itsFoxes,,,,http://www.speedrun.com/BO6Zombies/run/zpklplxy,verified
