game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,19m 12.450s,https://youtu.be/PGoXKGIxZk8,,solo,2024-12-03,1,Crybee98,,,,http://www.speedrun.com/BO6Zombies/run/z5l59rey,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=1w4d4n6q; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,18m 24.100s,https://youtu.be/lJrgx4k1G4Y,,solo,2024-12-03,1,Crybee98,,,,http://www.speedrun.com/BO6Zombies/run/y9po49nm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,19m 46.799s,https://youtu.be/eKk72yEceSg,,solo,2024-11-29,1,Crybee98,,,,http://www.speedrun.com/BO6Zombies/run/mkolk5xz,verified
