game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 68k1vezl=q75rg8y1,Xbox Series X,17m 29.940s,https://www.youtube.com/watch?v=kgp6ub38CGo,https://youtu.be/VzJ4I21Dz1o?si=dMtFkTnKBHrSyhho,co-op,2025-02-16,2,SloaneRegard,dizzymoth,,,http://www.speedrun.com/BO6Zombies/run/y8o6k1xm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,Xbox Series X,15m 26.540s,https://youtu.be/nTJAhwTDkes?si=xAuzttNlt1HHoprI,,co-op,2025-02-10,2,dizzymoth,SloaneRegard,,,http://www.speedrun.com/BO6Zombies/run/m3wlxlwy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,Xbox Series X,17m 59.000s,https://youtu.be/5_76gvm7NRs?si=wNddPVcIeV-qh_6c,,co-op,2025-01-27,2,dizzymoth,SloaneRegard,,,http://www.speedrun.com/BO6Zombies/run/yoqr151z,verified
