game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,58.020s,https://www.youtube.com/watch?v=9eo828mT7xI,,solo,2022-05-31,1,Matuef,,,,http://www.speedrun.com/bo3zombies/run/zx77jogy,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PC,2m 36.420s,https://www.youtube.com/watch?v=IrZ7vQyJpGU,,solo,2022-05-30,1,Matuef,,,,http://www.speedrun.com/bo3zombies/run/mkkkpdvm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PC,2m 56.350s,https://www.youtube.com/watch?v=ygH7Wwb_WHw,,solo,2022-03-13,1,Matuef,,,,http://www.speedrun.com/bo3zombies/run/z0o2xe4z,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PC,2m 58.420s,https://www.youtube.com/watch?v=DuPUOAHZ8lY,,solo,2022-03-12,1,Matuef,,,,http://www.speedrun.com/bo3zombies/run/z0o2ojjz,verified
