game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=0132y83q; 0nw2z6xn=xqk86k9q,Xbox One,4m 5.000s,https://www.youtube.com/watch?v=PeZ0irHKGMg&feature=youtu.be,https://www.twitch.tv/videos/579649890,solo,2020-03-31,1,TonyQ,,,,http://www.speedrun.com/bo4zombies/run/yd58kqwm,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=5lmn2zmq; 5lyjm0yl=0132y83q; e8mywzx8=21gg9r81,Xbox One,5m 59.210s,https://youtu.be/7Trl0JsUHyA,,solo,2019-08-29,1,TonyQ,,,,http://www.speedrun.com/bo4zombies/run/m317g2qz,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=5lmn2zmq; 5lyjm0yl=0132y83q; e8mywzx8=21gg9r81,Xbox One,6m 8.000s,https://www.twitch.tv/videos/472717598,,solo,2019-08-26,1,TonyQ,,,,http://www.speedrun.com/bo4zombies/run/yv3o4qxz,verified
Call of Duty: Black Ops IIII Zombies,,Voyage of Despair,dlomvkd8=5lmn2zmq; 5lyjm0yl=0132y83q; e8mywzx8=21gg9r81,Xbox One,6m 50.000s,https://www.twitch.tv/videos/472071147,,solo,2019-08-25,1,TonyQ,,,,http://www.speedrun.com/bo4zombies/run/z57rq55m,verified
