game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=814kpgjl,PC,2m 32.580s,https://youtu.be/vO7OV48h1sM,,solo,2022-03-25,1,piey,,,,http://www.speedrun.com/bo3zombies/run/y6n1vvqz,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=5leo55qo; ylp4gjlg=21dv5z41,PC,1m 17.050s,https://youtu.be/wsqTh55ryII,,solo,2022-03-25,1,piey,,,,http://www.speedrun.com/bo3zombies/run/yorwx1jy,verified
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=jqzv9eml,PC,58.041s,https://www.twitch.tv/videos/1435056967,,solo,2022-03-23,1,piey,,,,http://www.speedrun.com/bo3zombies/run/yjx050gz,verified
