game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; ylq5o7lr=81we9x91,PC,4m 17.000s,https://www.youtube.com/watch?v=qViHX0LytpU,https://youtu.be/3ubpknbR404?si=K95-KbBbyFSC5TLB,co-op,2026-03-05,2,bigmouthbass,Pinkhalfmoon,,,http://www.speedrun.com/iwzombies/run/ydp69rxy,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=q65nyr7l; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylq5o7lr=gq792yyl,PC,11m 48.620s,https://www.youtube.com/watch?v=y2HIcfIokxY,https://youtu.be/P9tb7sgYv_U?si=LJ2A8F0NZTxBs47R,co-op,2026-03-05,2,Pinkhalfmoon,bigmouthbass,,,http://www.speedrun.com/iwzombies/run/zg1kxgjz,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylq5o7lr=gq792yyl,PC,10m 30.440s,https://www.youtube.com/watch?v=YS_opUbOhOI,https://youtu.be/Me9pQLYt-A0?si=Mvn5Qd1tfy4ENjuJ,co-op,2026-03-05,2,Pinkhalfmoon,bigmouthbass,,,http://www.speedrun.com/iwzombies/run/yve3218m,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 6njo6684=5lm8p0yq,PC,2m 26.000s,https://www.youtube.com/watch?v=ZBH-6q6N7Y4https://www.youtube.com/watch?v=ZBH-6q6N7Y4,https://www.youtube.com/watch?v=2NrZnxO6u3s,co-op,2026-03-04,2,Pinkhalfmoon,bigmouthbass,,,http://www.speedrun.com/iwzombies/run/zg1kvlnz,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=21ge9kml,PC,7m 41.350s,https://www.youtube.com/watch?v=12lXaB5W1Wc,,solo,2026-03-03,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/yjr40noz,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=gq792yyl,PC,15m 54.000s,https://www.youtube.com/watch?v=zRrdtlMyenk&t=953s),https://www.youtube.com/watch?v=zRrdtlMyenk,solo,2026-02-28,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/zpv04prz,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=q65nyr7l; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,PC,4m 46.000s,https://www.youtube.com/watch?v=kTlrdjnyOYc,,solo,2026-02-28,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/zn644kvy,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=21ge9kml,PC,5m 21.750s,https://www.youtube.com/watch?v=rW0E_IKn64w,,solo,2026-02-27,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/m7j9k00m,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; 6njo6684=5lm8p0yq,PC,2m 42.000s,https://www.youtube.com/watch?v=blrHwXT_dGI,,solo,2026-02-26,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/z5no6knz,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,26.000s,https://www.youtube.com/watch?v=FVMjU4Ll0IE,,solo,2026-02-25,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/yjrkwxgz,verified
