game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Mauer Der Toten,2lgr6kon=5lez085l; 5ly1w0kl=z19kgw0q; jlzrv9y8=81wj8nvq,Xbox One X,51m 30.000s,https://youtu.be/gA-iXSZj24w,,co-op,2021-07-19,3,Dylan,elysium,UnKilledSniper,,http://www.speedrun.com/bocwz/run/m7dr5l4m,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,36m 10.045s,https://www.youtube.com/watch?v=B3FwYDHRP4c&feature=youtu.be&ab_channel=KyronPhillips,,co-op,2020-11-21,2,Dylan,Kyron,,,http://www.speedrun.com/bocwz/run/ywdv4wpz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PC,36m 10.045s,,,co-op,2020-11-19,2,Dylan,Kyron,,,http://www.speedrun.com/bocwz/run/z09lqd9z,rejected
