game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops IIII Zombies,,Alpha Omega,9l71mw7l=klry7doq; 5lyjm0yl=rqvmnpwq; yn21k7j8=21d3dnpq,PC,45m 13.001s,https://www.youtube.com/watch?v=GCVEB-dBwmI,,co-op,2022-06-03,2,JoshFerna,Choovster,,,http://www.speedrun.com/bo4zombies/run/z0plroey,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=rqvmnpwq; 0nw2z6xn=p12z4ev1,PC,47m 17.467s,https://www.youtube.com/watch?v=qavMu9SS6YU,,co-op,2022-05-22,2,JoshFerna,Choovster,,,http://www.speedrun.com/bo4zombies/run/y9v3gqvm,verified
Call of Duty: Black Ops IIII Zombies,,Tag Der Toten,p853770n=5q8dw3rl; 5lyjm0yl=rqvmnpwq; 38dj3318=4qyjgm3q,PC,56m 43.350s,https://www.youtube.com/watch?v=f8Cne11DPpA,,co-op,2022-05-07,2,JoshFerna,Choovster,,,http://www.speedrun.com/bo4zombies/run/yl7v8x2m,verified
Call of Duty: Black Ops IIII Zombies,,Ancient Evil,wl339yyl=zqo3pk4q; 5lyjm0yl=rqvmnpwq; wlex9v28=rqvrpgyl,PC,43m 4.167s,https://www.youtube.com/watch?v=lothRyQipns,,co-op,2022-05-02,2,JoshFerna,Choovster,,,http://www.speedrun.com/bo4zombies/run/y4qe22km,verified
