game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=0q5zm8mq; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,PC,25m 3.000s,https://www.youtube.com/watch?v=Mh2xeG4nPGQ&ab_channel=Captainbleep,,co-op,2021-10-17,4,FunnyFarter,nexvz,TroubBub,captainbleep,http://www.speedrun.com/bocwz/run/z1xnl89m,verified
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=5lez085l; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,PC,23m 54.310s,https://www.youtube.com/watch?v=ShGx9y9Kgn8&ab_channel=Captainbleep,,co-op,2021-10-16,3,captainbleep,Funnyfarter,Nexvz,,http://www.speedrun.com/bocwz/run/ylrx183y,verified
Call of Duty: Black Ops Cold War Zombies,,Forsaken,2lgr6kon=0137jrdl; yn2wg5gn=z19v3zjl; 6nj5r4vl=21dnw23l,PC,23m 50.660s,https://www.youtube.com/watch?v=S2xCvM_xP74&ab_channel=Captainbleep,,solo,2021-10-15,1,captainbleep,,,,http://www.speedrun.com/bocwz/run/y69e54py,rejected
