game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,20m 59.510s,https://www.youtube.com/watch?v=Ez8NBtqPTIY,,solo,2024-11-18,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/mrxgxw8m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,18m 1.550s,https://www.youtube.com/watch?v=CymwRWIyTz0,,solo,2024-11-17,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/y8p7p3wz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 4,21m 15.410s,https://www.youtube.com/watch?v=6lvjAoqCv-4,,solo,2024-11-16,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/mk16gn5y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,21m 24.170s,https://www.youtube.com/watch?v=61aRAg9cnNU,,solo,2024-11-15,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/y8p7dddz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,19m 22.810s,https://www.youtube.com/watch?v=jP0-0RkGUTE,,solo,2024-11-15,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/megqoeqy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,27m 17.700s,https://www.youtube.com/watch?v=JMC58QHPym8,,solo,2024-11-14,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/ywx98jnm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,27m 25.150s,https://youtu.be/UihE82a0O9c,,solo,2024-11-13,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/ydl7q3vz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,29m 51.940s,https://www.youtube.com/watch?v=AQfHm9Wb1YY,,solo,2024-11-09,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/z0q4rg8m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,33m 28.710s,https://www.youtube.com/watch?v=eUjDXBC4RDI,,solo,2024-11-05,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/zqqno5xz,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qj747goq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,33m 35.000s,,,solo,2024-11-03,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/zgo1ln0m,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qj747goq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,33m 35.000s,,,solo,2024-11-01,1,Demonicgaming,,,,http://www.speedrun.com/BO6Zombies/run/mk1x7dly,rejected
