game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PlayStation 4,2m 51.700s,https://www.youtube.com/watch?v=b5nHyDOFgew,,solo,2019-06-25,1,Rubtik,,,,http://www.speedrun.com/bo3zombies/run/zxkk458m,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PlayStation 4,2m 46.440s,https://www.youtube.com/watch?v=-S5OO1dmkh8,,solo,2019-03-10,1,Rubtik,,,,http://www.speedrun.com/bo3zombies/run/y430olkz,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PlayStation 4,2m 54.016s,https://www.youtube.com/watch?v=wPFreBtmF2E&t=1s,,solo,2018-02-11,1,Rubtik,,,,http://www.speedrun.com/bo3zombies/run/yl9pe4xy,verified
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=5q82o6gq; r8rgo40n=0q5xwen1; onv7j35n=4qyd382q,PlayStation 4,3m 24.140s,https://www.youtube.com/watch?v=CjLDQj_Vmd4,,solo,2018-06-19,1,Rubtik,,,,http://www.speedrun.com/wwiizombies/run/zp0qogrm,rejected
Call of Duty: WWII Zombies,,The Final Reich,38dojm0l=5q82o6gq; r8rgo40n=0q5xwen1; onv7j35n=4qyd382q,PlayStation 4,3m 26.000s,https://www.youtube.com/watch?v=_3OGVOhnR7s,,solo,2018-02-11,1,Rubtik,,,,http://www.speedrun.com/wwiizombies/run/yw1wqw0z,verified
