game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=810w6w2q; 2lg396np=5leo55qo; ylqx7m8r=p12v5gdq,PC,41m 46.100s,https://www.youtube.com/watch?v=ArKcXuUU_vA,,solo,2025-02-20,1,BaderDestructo,,,,http://www.speedrun.com/bo3zombies/run/ylplolnm,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,31m 53.980s,https://youtu.be/RpxuFIWmvbw?si=8IA_3W-tWggb-Ewz,,solo,2025-02-12,1,BaderDestructo,,,,http://www.speedrun.com/bo3zombies/run/y9p6e7km,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jqz2ogqp,PC,36m 11.240s,https://youtu.be/fKWJT2G14FA,,solo,2025-01-29,1,BaderDestructo,,,,http://www.speedrun.com/bo3zombies/run/y4jq80dy,verified
