game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PC,4m 48.560s,https://www.twitch.tv/videos/2140356154,,co-op,2024-05-08,4,Tikkipokka,EverLasting,stevenoswaldohernandez,VilFresh,http://www.speedrun.com/bo2zombies/run/zq8dg38z,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 6njyzen4=9qjwe2g1,PC,3m 57.120s,https://youtu.be/bVx7jVtqyNM?si=Wve2__hiTLVAqM8J,,co-op,2024-05-07,3,Tikkipokka,EverLasting,stevenoswaldohernandez,,http://www.speedrun.com/bo2zombies/run/y22k116y,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 6njyzen4=mlne856l,PC,21m 50.430s,https://youtu.be/bVx7jVtqyNM?si=khZml5MpOxHwstCJ,,co-op,2024-05-07,3,Tikkipokka,EverLasting,stevenoswaldohernandez,,http://www.speedrun.com/bo2zombies/run/z58k77gz,verified
Call of Duty: Black Ops II Zombies,,Nuketown,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 6njyzen4=5lm9mj1v,PC,1h 35m 23.260s,https://youtu.be/bVx7jVtqyNM?si=MnxDmyn5Fi4Os_e4,,co-op,2024-05-07,3,Tikkipokka,EverLasting,stevenoswaldohernandez,,http://www.speedrun.com/bo2zombies/run/mew0xx9m,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PC,4m 24.130s,https://www.twitch.tv/videos/2138676505,,co-op,2024-05-06,3,Tikkipokka,Далбаэб,Vorone,,http://www.speedrun.com/bo2zombies/run/mkp0x03y,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PC,3m 16.090s,https://www.twitch.tv/videos/2137846616,,solo,2024-05-05,1,Tikkipokka,,,,http://www.speedrun.com/bo2zombies/run/zp6w6vgm,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PC,4m 44.230s,https://www.twitch.tv/videos/2136964990,,co-op,2024-05-04,4,Tikkipokka,Vorone,CrAzY-I-krisox,Далбаэб,http://www.speedrun.com/bo2zombies/run/zp6wd28m,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PC,17m 38.270s,https://www.twitch.tv/videos/2136109549,,co-op,2024-05-03,2,Tikkipokka,Miedo,,,http://www.speedrun.com/bo2zombies/run/mewl7p2m,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 9l79x4n1=4qy58771,PC,3m 25.530s,https://www.twitch.tv/videos/2135288243,,solo,2024-05-02,1,Tikkipokka,,,,http://www.speedrun.com/bo2zombies/run/y8w620dy,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=rqv7wwq6; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PC,27m 3.270s,https://www.twitch.tv/videos/2134789244,,co-op,2024-05-02,4,Tikkipokka,le bearnous,LordDraxx,Xx_Aceituno-xX,http://www.speedrun.com/bo2zombies/run/yo0njd0y,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=zqo0w2qy; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PC,23m 16.190s,https://www.twitch.tv/videos/2133482358,,co-op,2024-04-30,3,Tikkipokka,MARMOTINHA,PixyTheChixy,,http://www.speedrun.com/bo2zombies/run/y22j439y,verified
Call of Duty: Black Ops II Zombies,,Farm,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 9l79x4n1=5q84kgrl,PC,16m 1.000s,https://www.twitch.tv/videos/1981040663,,solo,2023-11-18,1,Tikkipokka,,,,http://www.speedrun.com/bo2zombies/run/me030l8z,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; jlz2ryl2=21d6k23q,PC,16m 25.000s,https://www.twitch.tv/videos/1981016432,,solo,2023-11-18,1,Tikkipokka,,,,http://www.speedrun.com/bo2zombies/run/yoopodjy,verified
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=q5v99y2l; jlz2ryl2=xqkxxn19,PC,1h 2m 0.000s,https://www.twitch.tv/videos/1979222645,,co-op,2023-11-13,2,Tikkipokka,paulo.mira1,,,http://www.speedrun.com/bo2zombies/run/znep049z,verified
