game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=0q56pm1p; jlzz6xl2=gq79pjvl,PC,2m 37.150s,https://youtu.be/F3nnMLxqDoY,,co-op,2021-10-10,2,Haartz,Dobolif,,,http://www.speedrun.com/bo3zombies/run/y8ewlx5y,verified
Call of Duty: Black Ops III Zombies,,Shangri-La,ylqk4dzl=21d36o5q; 2lg396np=0q56pm1p; 789ye5nw=jqzv9pgl,PC,1m 41.450s,https://youtu.be/bG2b3X6IPf8,,co-op,2021-10-10,2,Haartz,Dobolif,,,http://www.speedrun.com/bo3zombies/run/yo608l7y,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=0q56pm1p; ylp4kjlg=21ge58nl,PC,2m 57.267s,https://youtu.be/NQGTkwDwYOU,,co-op,2021-10-10,2,Haartz,Dobolif,,,http://www.speedrun.com/bo3zombies/run/z1x90qgm,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=0q56pm1p; ylp4gjlg=21dv5z41,PC,1m 57.450s,https://youtu.be/wqbVDOR5JkA,,co-op,2021-10-10,2,Haartz,Dobolif,,,http://www.speedrun.com/bo3zombies/run/mrnvwo2y,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=0q56pm1p; gnx65jnv=gq79pdyl,PC,3m 26.517s,https://youtu.be/NTR58rwGu54,,co-op,2021-09-16,2,Haartz,Dobolif,,,http://www.speedrun.com/bo3zombies/run/yvo0o0oz,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=0q56pm1p; 2lg7k6lp=klrj9pjq,PC,1m 29.733s,https://youtu.be/ozxnFSbtqRQ,,co-op,2021-09-16,2,Haartz,Dobolif,,,http://www.speedrun.com/bo3zombies/run/yj5d5ddm,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=0q56pm1p; 2lg7k6lp=81p46ng1,PC,2m 57.367s,https://youtu.be/9Tq4-tUHCbY,,co-op,2021-09-16,2,Haartz,Dobolif,,,http://www.speedrun.com/bo3zombies/run/zgrqrqem,verified
Call of Duty: Black Ops III Zombies,,Nacht Der Untoten,p853w00n=zqorj2xq; 2lg396np=0q56pm1p; 2lg7e6lp=21ge5dml,PC,52.833s,https://youtu.be/luB0UHqRHaM,,co-op,2021-09-11,2,Haartz,Dobolif,,,http://www.speedrun.com/bo3zombies/run/ywk3kgny,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=21g2928l; 2lg396np=0q56pm1p; 38dw04n0=p12opmkl,PC,2m 59.450s,https://youtu.be/belH_npmaXM,,co-op,2021-08-20,2,Haartz,Dobolif,,,http://www.speedrun.com/bo3zombies/run/y69rjl6y,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=0q56pm1p; 2lg7k6lp=klrj9pjq,PC,2m 16.833s,https://youtu.be/55DNak4Bvnc,,co-op,2021-08-20,2,Haartz,Dobolif,,,http://www.speedrun.com/bo3zombies/run/yj56q3dm,verified
