game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=0139rzx1,PlayStation 4,41m 38.000s,https://youtu.be/Jv2Pf04PQcc,,co-op,2020-03-08,2,GamerBait438,Jellybean77,,,http://www.speedrun.com/iwzombies/run/yv3d0rez,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; 6njo6684=5len58ml,PlayStation 4,55m 14.000s,https://youtu.be/slGqswMJuag,,co-op,2020-01-20,2,GamerBait438,Jellybean77,,,http://www.speedrun.com/iwzombies/run/y6ljpopy,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PlayStation 4,36m 34.000s,https://youtu.be/iUr3ohs_MZQ,,co-op,2019-12-21,2,GamerBait438,Jellybean77,,,http://www.speedrun.com/iwzombies/run/m310jv6z,verified
