game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,28m 11.000s,https://www.youtube.com/watch?v=JmBqKC8mmPo,https://youtu.be/Rm8dUi5lnLw,co-op,2025-01-07,2,himothy69,Tokyo1445,,,http://www.speedrun.com/BO6Zombies/run/z5l02qny,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,28m 30.000s,https://youtu.be/Rm8dUi5lnLw,,co-op,2025-01-02,2,himothy69,Tokyo1445,,,http://www.speedrun.com/BO6Zombies/run/zpklg2vy,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qyzj4671; ylpy4ejl=1928ypyq,PC,28m 14.000s,https://youtu.be/cBozhk1qado,,co-op,2025-01-01,2,himothy69,Tokyo1445,,,http://www.speedrun.com/BO6Zombies/run/y4je8e2y,rejected
