game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,1m 40.910s,https://youtu.be/8o3cm0QufLk,,solo,2024-11-11,1,B06UK,,,,http://www.speedrun.com/BO6Zombies/run/zqqo5r9z,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=12vxvrdq; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; 68k1vezl=q75rg8y1,PC,3m 28.990s,https://www.youtube.com/watch?v=oIDZ5wq-NGs,,solo,2024-11-08,1,B06UK,,,,http://www.speedrun.com/BO6Zombies/run/m3j4nw6z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PC,3m 15.670s,https://youtu.be/JLQF0tuXboM,,solo,2024-11-08,1,B06UK,,,,http://www.speedrun.com/BO6Zombies/run/ywx70r2m,verified
