game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=rqvo0d7l; wledm3xn=9qjno4e1; gnxj7pgl=810y752l,Xbox One,11m 28.410s,https://youtu.be/k0PGTlsqAyk,,co-op,2020-11-18,2,UpsetWeeb,Mmarkyy_Mmark,,,http://www.speedrun.com/bocwz/run/m3gx00dz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,Xbox One,2m 30.000s,https://youtu.be/yoXCa-DElm4,,solo,2020-11-18,1,UpsetWeeb,,,,http://www.speedrun.com/bocwz/run/ywd6xqpz,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=814g6d01; gnxj7pgl=810y752l,Xbox One,2m 24.097s,https://youtu.be/rwPadXF5JS0,,solo,2020-11-18,1,UpsetWeeb,,,,http://www.speedrun.com/bocwz/run/ylv1x7rm,verified
